Date,Product_ID,Product_name,Historical_Sales,Promotion,Demand,Day_of_Week,Month
2023-01-01,MED001,Paracetamol,74,1,98,0,6
2023-01-01,MED002,Ibuprofen,82,0,86,4,3
2023-01-01,MED003,Amoxicillin,50,1,63,2,9
2023-01-02,MED001,Paracetamol,51,1,44,6,6
2023-01-02,MED002,Ibuprofen,41,1,26,1,3
2023-01-02,MED003,Amoxicillin,34,1,55,5,1
2023-01-02,MED004,Painkiller,90,1,98,6,5
2023-01-02,MED005,DOLO,85,0,79,6,10
2023-01-02,MED006,JAHuuafuwf,49,0,57,4,4
2023-01-07,MED001,Paracetamol,84,1,81,5,10
2023-01-07,MED002,Ibuprofen,30,0,41,2,8
2023-01-07,MED003,Amoxicillin,50,1,40,3,5
2023-01-07,MED004,Painkiller,63,1,72,4,4
2023-01-07,MED005,DOLO,64,0,50,1,12
2023-01-07,MED006,JAHuuafuwf,30,1,18,6,2
2023-01-11,MED001,Paracetamol,39,0,36,0,10
2023-01-11,MED002,Ibuprofen,62,1,79,5,10
2023-01-11,MED003,Amoxicillin,81,0,80,2,10
2023-01-11,MED004,Painkiller,78,0,94,3,2
2023-01-11,MED005,DOLO,82,0,79,0,6
2023-01-11,MED006,JAHuuafuwf,72,1,60,4,5
2023-01-14,MED001,Paracetamol,29,0,30,5,7
2023-01-14,MED002,Ibuprofen,20,1,10,3,5
2023-01-14,MED003,Amoxicillin,89,0,114,5,9
2023-01-14,MED004,Painkiller,95,1,93,1,8
2023-01-14,MED005,DOLO,69,1,61,6,9
2023-01-14,MED006,JAHuuafuwf,78,1,92,3,11
2023-01-16,MED001,Paracetamol,75,0,60,3,5
2023-01-16,MED002,Ibuprofen,48,1,53,5,12
2023-01-16,MED003,Amoxicillin,95,1,123,5,11
2023-01-16,MED004,Painkiller,49,0,74,6,8
2023-01-16,MED005,DOLO,50,0,49,1,3
2023-01-16,MED006,JAHuuafuwf,53,1,66,2,8
2023-01-20,MED001,Paracetamol,53,1,45,6,1
2023-01-20,MED002,Ibuprofen,58,1,77,6,1
2023-01-20,MED003,Amoxicillin,95,1,124,6,8
2023-01-20,MED004,Painkiller,47,0,66,0,6
2023-01-20,MED005,DOLO,69,0,75,6,5
2023-01-20,MED006,JAHuuafuwf,40,1,28,3,10
2023-01-23,MED001,Paracetamol,94,1,116,5,5
2023-01-23,MED002,Ibuprofen,81,1,73,0,2
2023-01-23,MED003,Amoxicillin,26,1,47,3,7
2023-01-23,MED004,Painkiller,59,1,67,2,11
2023-01-23,MED005,DOLO,64,1,70,3,3
2023-01-23,MED006,JAHuuafuwf,85,1,79,1,7
2023-01-28,MED001,Paracetamol,93,0,96,4,6
2023-01-28,MED002,Ibuprofen,54,0,52,4,1
2023-01-28,MED003,Amoxicillin,97,1,125,3,9
2023-01-28,MED004,Painkiller,64,1,49,6,7
2023-01-28,MED005,DOLO,68,0,94,5,7
2023-01-28,MED006,JAHuuafuwf,28,0,46,1,7
2023-01-30,MED001,Paracetamol,90,1,77,4,8
