Date,Product_ID,Product_name,Historical_Sales,Promotion,Demand,Day_of_Week,Month
2023-01-01,MED001,Paracetamol,37,1,28,0,1
2023-01-01,MED002,Ibuprofen,54,1,70,3,2
2023-01-01,MED003,Amoxicillin,59,1,89,4,1
2023-01-01,MED004,Painkiller,28,0,21,3,10
2023-01-01,MED005,DOLO,82,1,79,2,1
2023-01-02,MED001,Paracetamol,22,1,49,1,9
2023-01-02,MED002,Ibuprofen,90,0,116,6,12
2023-01-02,MED003,Amoxicillin,100,1,126,0,6
2023-01-02,MED004,Painkiller,51,0,61,6,3
2023-01-02,MED005,DOLO,25,1,54,4,9
2023-01-04,MED001,Paracetamol,24,1,52,6,8
2023-01-04,MED002,Ibuprofen,70,1,100,1,11
2023-01-04,MED003,Amoxicillin,28,0,47,4,8
2023-01-04,MED004,Painkiller,35,1,49,4,9
2023-01-04,MED005,DOLO,57,0,73,3,2
2023-01-06,MED001,Paracetamol,39,0,60,2,1
2023-01-06,MED002,Ibuprofen,82,1,108,2,4
2023-01-06,MED003,Amoxicillin,49,0,59,3,3
2023-01-06,MED004,Painkiller,46,1,73,4,2
2023-01-06,MED005,DOLO,98,1,88,0,12
2023-01-07,MED001,Paracetamol,53,0,70,6,11
2023-01-07,MED002,Ibuprofen,37,0,40,3,1
2023-01-07,MED003,Amoxicillin,85,1,109,6,3
2023-01-07,MED004,Painkiller,33,0,49,0,3
2023-01-07,MED005,DOLO,23,1,19,6,9
2023-01-08,MED001,Paracetamol,30,0,43,5,12
2023-01-08,MED002,Ibuprofen,98,1,97,0,2
2023-01-08,MED003,Amoxicillin,76,0,100,4,11
2023-01-08,MED004,Painkiller,95,1,117,0,2
2023-01-08,MED005,DOLO,89,1,95,2,9
2023-01-13,MED001,Paracetamol,37,0,34,3,6
2023-01-13,MED002,Ibuprofen,86,0,112,3,9
2023-01-13,MED003,Amoxicillin,67,1,57,4,3
2023-01-13,MED004,Painkiller,27,0,33,4,1
2023-01-13,MED005,DOLO,73,1,83,3,11
2023-01-14,MED001,Paracetamol,31,0,33,3,10
2023-01-14,MED002,Ibuprofen,30,1,58,3,2
2023-01-14,MED003,Amoxicillin,30,0,52,3,11
2023-01-14,MED004,Painkiller,95,1,95,4,11
2023-01-14,MED005,DOLO,74,0,93,5,7
2023-01-18,MED001,Paracetamol,94,1,124,0,5
2023-01-18,MED002,Ibuprofen,25,1,29,5,2
2023-01-18,MED003,Amoxicillin,53,0,80,3,2
2023-01-18,MED004,Painkiller,65,1,57,3,9
2023-01-18,MED005,DOLO,51,0,72,2,11
2023-01-20,MED001,Paracetamol,90,0,101,5,7
2023-01-20,MED002,Ibuprofen,65,0,84,4,11
2023-01-20,MED003,Amoxicillin,70,0,78,5,1
2023-01-20,MED004,Painkiller,97,1,127,2,10
2023-01-20,MED005,DOLO,68,1,92,1,12
2023-01-23,MED001,Paracetamol,53,1,44,2,8
2023-01-23,MED002,Ibuprofen,85,1,84,0,8
2023-01-23,MED003,Amoxicillin,21,0,46,2,2
2023-01-23,MED004,Painkiller,69,0,69,2,10
2023-01-23,MED005,DOLO,51,1,58,4,9
2023-01-28,MED001,Paracetamol,36,0,58,4,4
2023-01-28,MED002,Ibuprofen,54,1,78,5,9
2023-01-28,MED003,Amoxicillin,49,0,66,1,5
2023-01-28,MED004,Painkiller,70,1,69,6,9
2023-01-28,MED005,DOLO,76,0,93,0,10
2023-02-01,MED001,Paracetamol,28,0,37,0,4
2023-02-01,MED002,Ibuprofen,34,0,46,5,10
2023-02-01,MED003,Amoxicillin,40,0,56,0,4
